"Qty";"Value";"Device";"Package";"Parts";"Description";"EAGLEID";"MCHP_ID";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";"TME";"VALUE";
"2";"";"PINHD-1X14";"1X14";"LEFT, RIGHT";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"2";"";"PINHD-1X2";"1X02";"GND, JP4";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"4";"";"PINHD-1X3";"1X03";"FLT/EN_TP, OBSRV1, OBSRV2, OBSRV3";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X4";"1X04";"JP_CURRENT";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X6";"1X06";"PWM_TEST_POINTS";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"3";"0R";"R-EU_SMDR0603_0R";"R0603";"R11, R13, R28";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"0R";
"1";"100n";"C-EUC0805";"C0805";"C24";"CAPACITOR, European symbol";"";"";"";"";"";"";"C";"";"";
"6";"100nF";"C-EU-SMD_0603_100NF_50V";"C0603K";"C5, C25, C27, C28, C29, C33";"CAPACITOR, European symbol";"1204";"";"";"";"";"";"";"";"100nF";
"3";"10uF";"C-EU-SMD_0805_10UF_16V";"C0805K";"C1, C2, C3";"CAPACITOR, European symbol";"1275";"";"";"";"";"";"";"";"10uF";
"1";"10uF";"C-EU-SMD_1206_10UF_50V";"C1206";"C6";"CAPACITOR, European symbol";"1368";"";"";"";"";"";"";"";"10uF";
"1";"12,4k 1%";"R-EU_SMDR0603_12,4K_1%";"R0603";"R67";"RESISTOR, European symbol";"1316";"";"";"";"";"";"";"";"12,4k 1%";
"2";"12k 1%";"R-EU_SMDR0603_12K_1%";"R0603";"R6, R65";"RESISTOR, European symbol";"1317";"";"";"";"";"";"";"";"12k 1%";
"2";"1k";"4R-NEXB38V";"EXB38V";"RN2, RN11";"Array Chip Resistor";"";"";"";"";"unknown";"unknown";"";"";"";
"7";"1nF";"C-EU-SMD_0603_1NF_100V";"C0603K";"C7, C13, C14, C15, C16, C17, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"1nF";
"2";"1uF";"C-EU-SMD_0603_1UF_10V";"C0603K";"C19, C26";"CAPACITOR, European symbol";"1309";"";"";"";"";"";"";"";"1uF";
"8";"2,2k";"4R-N2,2K";"EXBV8V_A";"R10, R15, R17, R18, R34, RN1, RN3, RN4";"Array Chip Resistor";"1022";"";"";"";"";"";"";"";"2,2k";
"3";"2,2k";"R-EU_SMDR0603_2,2K";"R0603";"R47, R48, R68";"RESISTOR, European symbol";"1364";"";"";"";"";"";"";"";"2,2k";
"1";"200R";"4R-N200R";"EXBV8V_A";"R16";"Array Chip Resistor";"1023";"";"";"";"";"";"";"";"200R";
"1";"22k";"4R-N22K";"EXBV8V_A";"R19";"Array Chip Resistor";"";"";"";"";"";"";"";"";"22k";
"7";"22k 1%";"R-EU_SMDR0603_22K_1%";"R0603";"R12, R49, R51, R52, R77, R78, R79";"RESISTOR, European symbol";"1314";"";"";"";"";"";"";"";"22k 1%";
"5";"22nF";"C-EU-SMD_0603_22NF_16V";"C0603K";"C12, C20, C21, C22, C32";"CAPACITOR, European symbol";"1311";"";"";"";"";"";"";"";"22nF";
"1";"22pF";"C-EU-SMD_0603_22PF_50V";"C0603K";"C4";"CAPACITOR, European symbol";"1312";"";"";"";"";"";"";"";"22pF";
"1";"330R";"R-EU_SMDR0603_330R";"R0603";"R70";"RESISTOR, European symbol";"1374";"";"";"";"";"";"";"";"330R";
"6";"3R";"R-EU_SMDR0603_3R";"R0603";"R1, R2, R3, R4, R29, R30";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"3R";
"3";"4,7uF";"C-EU-SMD_0603_4,7UF_16V";"C0603K";"C31, C34, C35";"CAPACITOR, European symbol";"1310";"";"";"";"";"";"";"";"4,7uF";
"1";"4,7uH";"WE-TPC_3816_4,7UH_0,9A";"WE-TPC_3816";"L1";"SMD Shielded Tiny Power Inductor";"";"";"";"";"";"";"";"";"4,7uH";
"4";"40V";"SCHOTTKY40V";"MINIMELF";"D1, D2, D3, D5";"Schottky Diode";"";"";"";"";"";"";"";"TMMBAT48FILM";"40V";
"1";"470u 63V";"CPOL-EUE";"PANASONIC_E";"C8";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"C";"";"";
"2";"60R";"R-EU_SMDR1206_60R";"R1206";"R26, R27";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"60R";
"5";"680R";"R-EU_SMDR0603_680R";"R0603";"R8, R14, R20, R21, R69";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"680R";
"2";"68k 1%";"R-EU_SMDR0603_68K_1%";"R0603";"R5, R25";"RESISTOR, European symbol";"1324";"";"";"";"";"";"";"";"68k 1%";
"1";"ATA6563";"ATA6563";"SOIC-8";"ATA6563";"";"";"";"";"";"";"";"";"";"ATA6563";
"3";"BSS123";"BSS123";"SOT23";"T1, T2, T3";"N-CHANNEL MOS FET";"1139";"";"";"";"";"";"";"";"BSS123";
"3";"CLL5.08/2";"AK500/2CSAVAROS_CLL5.08/2";"CLL5.08/2";"EXT_SUPPLY, X1, X3";"CONNECTOR";"1029";"";"";"";"";"";"";"";"CLL5.08/2";
"2";"CLL5.08/3";"AK500/3CSAVAROS_CLL5.08/3";"CLL5.08/3";"MOTOR, X4";"CONNECTOR";"1030";"";"";"";"";"";"";"";"CLL5.08/3";
"6";"DMT4002LPS";"BSZ105N04NS_PG-TDSON-8";"PG-TDSON-8_";"Q1, Q2, Q3, Q4, Q5, Q6";"OptiMOS (TM)3 Power-Transistor N-Channel, Normal level";"";"";"";"";"";"";"";"";"";
"4";"Green";"LEDCHIPLED_0805_GREEN";"CHIPLED_0805";"3.3V, 5V, 8V, 24V";"LED";"1109";"";"";"";"";"";"";"";"Green";
"1";"MCP16301T-E/CH";"MCP16301T-E/CH";"SOT23-6";"U$2";"Microchip Buck regulator MCP16301";"";"MIC19965";"";"";"";"";"";"";"";
"1";"MCP6004ST";"MCP6004ST";"TSSOP14";"MCP6024";"Quad Op Amp 2.7V to 6.0V Single Supply";"";"";"";"";"";"";"";"";"";
"1";"MIC4607-1";"MIC4607-1";"TSSOP28";"MIC4607";"Microchip MIC4607 Datasheet";"";"";"";"";"";"";"";"";"";
"1";"MIC5233YM5";"MIC5233YM5";"TSOT23-5";"U$1";"Microchip MIC5233";"";"";"";"";"";"";"";"";"";
"6";"R-EU_SMDR2512";"R-EU_SMDR2512";"R2512";"R7, R9, R53, R56, R75, R76";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"2";"Red";"LEDCHIPLED_0805_RED";"CHIPLED_0805";"LED7, LED8";"LED";"1110";"";"";"";"";"";"";"";"Red";
"6";"Yellow";"LEDCHIPLED_0805_YELLOW";"CHIPLED_0805";"LED1, LED2, LED3, LED4, LED5, LED6";"LED";"1112";"";"";"";"";"";"";"";"Yellow";
"1";"ll4148";"1N4148MINIMELF";"MINIMELF";"D4";"DIODE";"1075";"";"";"";"";"";"";"DL4148";"ll4148";
